Name,Street,PLZ,Ort,Email,www,Telefon,Fax
A. I. B. Legal Inkasso Dienstleistungen,Freibadstrae 30,81543,Mnchen,Baumgarten@aib-legal.de,www.aib-legal.de,+49 89 225393-74,+49 89 203346-97
Aalto Financial Services GmbH,Legienstr. 1,28188,Bremen,info@aalto-fs.de,www.aalto-fs.de,+49 421 4391-05,+49 421 4391-115
abilita GmbH,Prfeninger Str. 20,93049,Regensburg,info@abilita.de,www.abilita.de,+49 941 64664-0,+49 941 64664-199
Abschlepp Service Adena GmbH,Kiesheckerweg 144,40468,Dsseldorf,dispo@adena1.de,www.abschlepp-service-adena.de,+49 211 485400,+49 211 482453
accredis Inkasso GmbH & Co. KG,Robert-Bosch-Str. 2a,50354,Hrth,info@accredis-inkasso.de,www.accredis-inkasso.de,+49 2233 96683-0,+49 2233 96683-9
Accuravis Inkasso GmbH,Clarita-Bernhard-Str.27,81249,Mnchen,info@accuravis.de,www.accuravis.de,+49 89 747257 168,
ACONTO Inkasso,Kaiserstrae 23,72764,Reutlingen,ACONTO.INKASSO@t-online.de,www.Aconto-inkasso.de,+49 7121 240710,+49 7121 240714
ACTIO Inkasso und Forderungsmanagement,Fulgengrund 33,18211,Retschow,info@actio-inkasso.de,www.actio-inkasso.de,+49 38203 429135,+49 38203 429167
adebio Forderungsmanagement GmbH,An der Grenzpappel 41,28207,Bremen,info@adebio.de,www.adebio.de,+49 421 485 19 410,+49 421 485 19 419
Adler Inkasso GmbH,Petersberger Strae 32,36037,Fulda,info@adler-inkasso.com,www.adler-inkasso.com,+49 661 902380,+49 661 9023879
Adrian Collection Services Inh. Marina Adrian,Legionrsweg 5,63543,Neuberg,info@adrian-collection.de,www.adrian-collection.de,+49 6183 91947-10,+49 6183 91947-09
Advin Inkassoservice GmbH,Sulzbachstr. 21-23,66111,Saarbrcken,info@advin-inkasso.de,www.advin-inkasso.de,+49 681 387231-0,+49 681 387231-90
Agenda Inkassobro GmbH,Troppauerstr. 10,83395,Freilassing,office@agenda-gmbh.de,www.agenda-inkasso.de,+49 8654 6020-0,+49 8654 6020-50
Agens WFI Inkasso,Bierbrauerweg 40,63071,Offenbach,info@agens-wfi-inkasso.de,www.agens-wfi-inkasso.de,+49 69 82379489-0,+49 69 82379489-9
Agens WFI Inkasso e.K.,Gutenbergstrae 6,97297,Waldbttelbrunn,info@agens-wfi-inkasso.de,www.agens-wfi-inkasso.de,+49 931 40692-0,+49 931 40692-29
agilis INKASSO GmbH,Friedrichstrae 88,10117,Berlin,service@agilis-inkasso.de,www.agilis-inkasso.de,+49 30 999980-00,+49 30 999980-10
Ahrweiler Inkasso Markus Stumpf (Betriebswirt VWA),Landskroner Strae 125,53501,Grafschaft,stumpf@ahrweiler-inkasso.de,www.ahrweiler-inkasso.de,+49 2641 9181484,+49 2641 9181482
AK Aschmann Inkasso,Theodor-Krner-Str. 16,73230,Kirchheim,info@ak-aschmann.de,www.ak-aschmann.de,+49 7021 486150,+49 7021 486153
AKKURAT INKASSO GmbH,Laasener Str. 2,7545,Gera,info@akkurat-inkasso.de,www.akkurat-inkasso.de,+49 365 202060,+49 365 2020660
AKTIVA Ges. fr Kreditorenschutz und Factoring mbH,Walder Str. 9,42653,Solingen,info@aktiva-inkasso.eu,www.aktiva-inkasso.eu,+49 212 59790,+49 212 59728
AKTIVAINKASSO GbR,Industriestr. 36,55543,Bad Kreuznach,info@aktivainkasso.de,www.aktivainkasso.de,+49 671 79669-0,+49 671 79669-10
Akzepta Inkasso GmbH,Jahnstrae 31,83278,Traunstein,traunstein@akzepta.de,www.akzepta.com,+49 861 989390,+49 861 15830
Alektum GmbH,Augustenstr. 79,80333,Mnchen,info@alektumgroup.de,www.alektumgroup.de,+49 89 130100-4050,+49 89 130100-4051
Allgemeiner Debitoren- und Inkassodienst GmbH,Eduard-Pestel-Str. 7,49080,Osnabrck,info@adu-inkasso.de,www.adu-inkasso.de,+49 541 800180,+49 541 8001855
ALPHA Inkasso GmbH,Zeppelinstrae 15,74385,Pleidelsheim,info@alphainkasso.de,,+49 7144 8974358,+49 7144 8974516
Amberger Inkasso,Eglseer Strae 102,92224,Amberg,KarinDonhauser@web.de,,+49 9621 13050,+49 9621 24296
AMD Advanced Media Device GmbH,Bahnhofplatz 6,56068,Koblenz,info@amd-online.com,www.amd-online.com,+49 261 2918073,+49 261 3257475
Ammersee Forderungsmanagement Inh. Jenny Wanninger,Am Ziegelstadel 13 a,85570,Markt Schwaben,info@ammersee-management.de,www.ammersee-management.de,+49 8121 7922170,+49 8121 7922171
Amper-Inkasso e. K.,Sandbergstrae 8,85256,Vierkirchen,info@amper-inkasso.de,www.amper-inkasso.de,+49 8139 935445,+49 8139 92581
AP Inkasso GmbH,Kaiserstrae 24,55116,Mainz,,www.ap-inkasso.de,+49 6131 614314,+49 6131 614315
Apontas GmbH & Co. KG,Scheuten-Solar-Strae 1,45881,Gelsenkirchen,info@apontas.de,,+49 800 1003733,
Apontas Inkasso GmbH,Scheuten-Solar-Strae 1,45881,Gelsenkirchen,info@apontas.de,,+49 800 1003733,
ARE-Inkasso e.K.,Hauptstr. 98 a,30826,Garbsen,are-inkasso@email.de,www.are-inkasso.de,+49 5131 4676498,+49 5131 4676499
Argus Inkasso GmbH,Carl-Friedrich-Gau-Strae 16,47475,Kamp-Lintfort,info@argus-inkasso.de,www.argus-inkasso.de,+49 2842 9097220,+49 2842 962403
Arminia Ges fr Kreditschutz Thirolf und Schreier GmbH,Maxstrae 44,67059,Ludwigshafen,arminia-inkasso@t-online.de,,+49 621 513856,+49 621 513790
ARNI - Abrechnungsstelle Niedersachsen fr Heil- und Hilfsmittel GmbH,Landschaftstr. 7,30159,Hannover,info@arni-gmbh.de,www.arni-gmbh.de,+49 511 30794 0,+49 511 3681152
ASG Inkasso GbR,Seilerstr. 19,38440,Wolfsburg,asg-inkasso@wolfsburg.de,www.asg-inkasso.de,+49 5361 8916940,+49 5361 8916949
ASK ME Annegret Krol,Ifflandstr. 80,22087,Hamburg,,www.askme-inkasso-bs.de,+49 40 22694857,
Asset Research GmbH & Co. KG,Feldpreul 8b,61191,Rosbach,kontakt@assetresearch.de,www.assetresearch.de,+49 6003 9348451,+49 6003 9348452
Atradius Collections B.V. Niederlassung Deutschland,Opladener Str. 14,50679,Kln,inkasso-service@atradius.com,www.atradius.de,+49 221 2044-3666,+49 221 2044-3208
atriga GmbH,Pittlerstrae 47,63225,Langen,info@atriga.com,www.atriga.com,+49 6103 3746-0,+49 6103 3746-100
Auskunftei Inkasso-Treuhand Thom GmbH,Feldmannstrae 36,66119,Saarbrcken,info@thom-inkasso.de,www.thom-inkasso.de,+49 681 968675-0,+49 681 968675-99
Auskunftei und Inkassobro Klara Berthel,Mhlweg 12,97461,Hofheim,berthel.ink@t-online.de,,+49 9523 5240,+49 9523 5241
Axactor Germany GmbH,Im Breitspiel 13,69126,Heidelberg,info@axactor.de,www.axactor.de,+49 6221 987-60,+49 6221 987-999
Axel Keuchel Schwarz auf Weiss Forderungseinzug,Bennauerstr. 36,53115,Bonn,axkebo@t-online.de,www.saw-inkasso.de,+49 228 631454,+49 228 631480
Bad Homburger Inkasso GmbH,Konrad-Adenauer-Allee 1-11,61118,Bad Vilbel,info@bad-homburger-inkasso.com,www.bad-homburger-inkasso.com,+49 (0) 6101 98911-0,+49 (0) 6101 98911 -500
Bahr-Inkasso Inh. Paul Bahr,Kleine Gasse 1,77799,Ortenberg,PBahr@t-online.de,www.bahr-inkasso.de,+49 781 9483921,+49 781 9483922
Bavaria Inkasso GmbH,Stahlgruberring 7a,81829,Mnchen,bavaria@bavaria-inkasso.de,www.bavaria-inkasso.de,+49 89 420 79 789 - 0,+49 89 420 79 789 - 89
BFI Bremer Factoring und Inkasso-Kontor GmbH,Ltzener Str. 3,28207,Bremen,info@bfi-inkasso.de,www.bfi-inkasso.de,+49 421 432710,+49 421 4327134
BFM Bro fr Forderungsmanagement Inh. Ines Tix,Melanchthonstr. 40,2826,Grlitz,info@bfm-inkasso.de,www.bfm-inkasso.de,+49 3581 686535,+49 3581 686534
BFS health finance GmbH,Hlshof 24,44369,Dortmund,info@meinebfs.de,www.meinebfs.de,+49 231 9453620,+49 231 945362188
BI INKASSO GmbH,Detmolder Str. 30,33604,Bielefeld,info@bi-inkasso.de,www.bi-inkasso.de,+49 521 96796733,+49 521 96796730
BID Bayerischer Inkasso Dienst GmbH,Weichengereuth 26,96450,Coburg,bid-ag@bid-coburg.de,www.bid-coburg.de,+49 9561 8060-0,+49 9561 8060-805
BIG Berliner Inkasso Gesellschaft mbH,Flughafenstr. 52,22335,Hamburg,info@berliner-inkasso.de,www.berliner-inkasso.de,+49 40 1800317-10,+49 40 1800317-39
BRASI - Verbraucherberatungs AG,Dreiknigen Str. 89,47798,Krefeld,info@brasi-ag.de,www.brasi-ag.de,+49 2151 3699514,+49 2151 3699520
breco-Inkasso GmbH,Kaiserstrae 46,72764,Reutlingen,breco@breco-inkasso.de,www.breco-inkasso.de,+49 7121 31920,+49 7121 319292
BREMER INKASSO GmbH,Leerkmpe 12,28259,Bremen,info@bremer-inkasso.de,www.bremer-inkasso.de,+49 421 84106 0,+49 421 84106 21
Brgel Bielefeld Regel Inkassodienst GmbH & Co. KG,Fredeburger Strae 21,33699,Bielefeld,info@regel-inkasso.de,www.regel-inkasso.de,+49 521 924120,+49 521 9241215
Brgel Dresden Scharf GmbH,Dohnaer Strae 45,1219,Dresden,info@buergel-dresden.de,www.buergel-dresden.de,+49 351 27037-0,+49 351 27037-70
Brgel Essen IKA Inkasso GmbH,Am Domacker 109,47447,Moers,info@ika-inkasso.de,www.ika-inkasso.de,+ 201 82721-60,+ 201 82721-99
Brgel Gieen Wanke KG,Brunnengasse 2,35447,Reiskirchen,info@buergel-giessen.de,www.buergel-giessen.de,+49 6408 95230,+49 6408 952350
Brgel Hannover Regel Inkassodienst GmbH & Co. KG,Fredeburger Str. 21,33699,Bielefeld,info@regel-inkasso.de,www.regel-inkasso.de,+49 511 630190,+49 511 6301916
Brgel Inkasso Ringwald GmbH,Greschbachstrae 3,76229,Karlsruhe,inkasso@ringwald-inkasso.de,www.ringwald-inkasso.de,+49 721 9455230,+49 721 9455240
Brgel Kassel Inkassounternehmen Wojacek & Kilian KG,Hans-Sautter-Str. 20-22,34134,Kassel,wk-inkasso-kg@t-online.de,www.buergel.de,+49 561 94078-0,+49 561 4075-85
Brgel Kiel FNI Forderungsmanagement Neumann Inkasso OHG,Andreas-Gayk-Strae 7-11,24103,Kiel,info@buergel-kiel.de,www.buergel.de,+49 431 974250,+49 431 970224
Brgel Leipzig,Brgel Wirtschaftsinformationen GmbH & Co. KG Ndl.Leipzig,4103,Leipzig,customer_service@buergel.de,www.buergel-leipzig.de,+49 341 44903-0,+49 341 44903-50
Brgel Potsdam ABI allgemeines Brandenburg Inkasso GmbH,Seestr. 28,15236,Frankfurt/Oder,info@buergel-potsdam.de,www.inkassocheck.de,+49 33200 50124-0,+49 33200 50124-50
Brgel Suhl Dr. Linde & Co. Inkasso- und Wirtschaftsservice,Industriestrae 20,98544,Zella-Mehlis,info@buergel-suhl.de,www.buergel-suhl.de,+49 3682 88780,+49 3682 46188
Brgel Ulm Inkasso & Kreditschutz Ressmann KG,Bleichstrae 30,89077,Ulm,info@inkasso-ressmann.de,www.inkasso-ressmann.de,+49 731 1400440,+49 731 1400499
Brgel Wirtschaftsinformationen GmbH & Co. KG Ndl. Dsseldorf,Mrsenbroicherweg 200,40470,Dsseldorf,customer_service@buergel.de,www.buergel-duesseldorf.de,+49 211 1670460,+49 211 1670468
CL Inkasso GmbH,Zeppelinstrasse 3,88131,Lindau/Bodensee,info@cl-inkasso.de,www.cl-inkasso.de,+49 8382 27308-0,+49 8382 27308-50
CMS Collection GmbH,Isaac-Fulda-Allee 5,55124,Mainz,info@cms-collection.de,www.cms-collection.de,+49 6131 8928-101,+49 6131 8928-199
coeo Inkasso GmbH,Kieler Str. 16,41540,Dormagen,info@coeo-inkasso.de,www.coeo-inkasso.de,+49 2133 2463-0,+49 2133 246318
Coface Debitorenmanagement GmbH,Isaac-Fulda-Allee 1,55124,Mainz,info@coface.de,www.coface.de,+49 6131 6004-0,+49 6131 6004-199
collectAI [collect Artificial Intelligence GmbH],Am Sandtorkai 50,20457,Hamburg,info@collect.ai,www.collect.ai,+ 49 40 609 412 95 0,
Collectia GmbH,Brunnenwiesenstr. 4,94469,Deggendorf,info@collectia.de,www.collectia.de,+49 991 2962-900,+49 991 2962-910
Commerz Service-Center Intensive GmbH,Benrather Strae 19,40213,Dsseldorf,sci.geschaeftsleitung@service-center-inkasso.de,,+49 211 827-3333,+49 211 827-2285
confidentia GmbH Inkasso fr In- und Ausland,Argelanderstr. 116,53115,Bonn,info@confidentia-inkasso.de,www.confidentia-inkasso.de,+49 228 53968-0,+49 228 53968-23
Credit & Collections Service GmbH,Daniel-Goldbach-Str. 17-19,40880,Ratingen,kontakt@creditcs.de,www.creditcs.de,+49 2102 9979-300,+49 2102 7704-373
Creditreform Aachen Raab KG,Charlottenburger Allee 27-29,52068,Aachen,Info@Aachen.Creditreform.de,www.aachen.creditreform.de,+49 241 96245-0,+49 241 962220
Creditreform Arnsberg Steuber KG,Mhnestr. 9,59755,Arnsberg,Info@Arnsberg.Creditreform.de,www.arnsberg.creditreform.de,+49 2932 9750-0,+49 2932 9750-50
